,Address,Area,Beds,Full Baths,Half Baths,Locality,Lot Size,MLS#,Price
0,0 Gateway,,,,,"Rock Springs, WY 82901",,20156419,"$725,000"
1,1003 Winchester Blvd.,,4,4,,"Rock Springs, WY 82901",0.21 Acres,20152130,"$452,900"
2,600 Talladega,"3,154",5,3,,"Rock Springs, WY 82901",,20156389,"$396,900"
3,3239 Spearhead Way,"3,076",4,3,1,"Rock Springs, WY 82901","Under 1/2 Acre, 0.23 Acres",20160119,"$389,900"
4,522 Emerald Street,"1,172",3,3,,"Rock Springs, WY 82901","Under 1/2 Acre, 0.19 Acres",20155008,"$254,000"
5,1302 Veteran's Drive,"1,932",4,2,,"Rock Springs, WY 82901",0.27 Acres,20160028,"$252,900"
6,1021 Cypress Cir,"1,676",4,3,,"Rock Springs, WY 82901","Under 1/2 Acre, 0.43 Acres",20156320,"$210,000"
7,913 Madison Dr,"1,344",3,2,,"Rock Springs, WY 82901","Under 1/2 Acre, 0.13 Acres",20155756,"$209,000"
8,1344 Teton Street,"1,920",3,2,,"Rock Springs, WY 82901","Under 1/2 Acre, 0.14 Acres",20156880,"$199,900"
9,4 Minnies Lane,"1,664",3,2,,"Rock Springs, WY 82901",2.02 Acres,20156365,"$196,900"
10,9339 Sd 26900,"2,560",,,,"Rocksprings, TX 78880",,81415,"$1,700,000"
11,RR674P13 Hwy 377,"2,000",,,,"Rocksprings, TX 78880",,85217,"$1,100,000"
12,0 Hwy 41,,,,,"Rocksprings, TX 78880",,86198,"$1,080,000"
13,9339 Sd 26900,"2,560",,,,"Rocksprings, TX 78880",,85642,"$908,350"
14,CR450 Hwy 377,,,,,"Rocksprings, TX 78880",,85215,"$905,000"
15,Cr 240 Cr 240,"1,398",,,,"Rocksprings, TX 78880",,86361,"$695,000"
16,RR674 Hwy 377,"1,738",,,,"Rocksprings, TX 78880",,86312,"$605,000"
17,9770a Sd 26900,"1,080",,,,"Rocksprings, TX 78880",,85713,"$559,805"
18,Lot17 CR 2630,,,,,"Rocksprings, TX 78880",,86642,"$504,000"
19,"Tr12,16 CR 520",,,,,"Rocksprings, TX 78880",,86390,"$410,000"
20,32575 S Shadow Mountain Road,"2,318",3,2,,"Black Canyon City, AZ 85324",,4857876,"$299,900"
21,32750 S Shangrila Drive,"2,120",3,2,,"Black Canyon City, AZ 85324",,4773355,"$167,500"
22,0000 Black Canyon Highway,,,,,"Black Canyon City, AZ 85324",5 Acres,4841819,"$150,000"
23,34775 S CHOLLA Drive,"1,220",3,2,,"Black Canyon City, AZ 85324",,4686266,"$129,500"
24,33403 S. HA-WA-SI TERRACE,"2,000",4,2,,"BLACK CANYON CITY, AZ 85324",,4724003,"$129,000"
25,34263 S Bertha Street,"2,260",5,2,,"Black Canyon City, AZ 85324",,4805622,"$80,000"
26,33160 S Canyon Road,"1,248",3,2,,"Black Canyon City, AZ 85324",,4782047,"$77,900"
27,19421 E Todd Evans Road,"1,404",3,2,,"Black Canyon City, AZ 85324",,4828193,"$70,500"
28,18688 E AGUA Vista,,,,,"Black Canyon City, AZ 85324",0.7 Acres,4835071,"$70,000"
29,50600 N Old Black Canyon Road,,,,,"Black Canyon City, AZ 85324",3 Acres,2616830,"$67,500"
30,20101 E SQUAW VALLEY Road,,,,,"Black Canyon City, AZ 85324",,4824906,"$54,900"
31,33259 S Canyon Road,"1,056",3,1,,"Black Canyon City, AZ 85324",,4722011,"$45,600"
32,34558 S ROADRUNNER RD,784,2,1,,"Black Canyon City, AZ 85324",Under 1/2 Acre,4657463,"$40,000"
33,19260 E Scenic Loop Road,,,,,"Black Canyon City, AZ 85324",2.35 Acres,4781544,"$30,000"
34,19000 E MAREN Avenue,,,,,"Black Canyon City, AZ 85324",2.05 Acres,4621064,"$29,000"
35,19350 E SAGUARO Drive,,,,,"Black Canyon City, AZ 85324",0.73 Acres,4848089,"$28,995"
36,20650 E Amethyst Place,,,,,"Black Canyon City, AZ 85324",0.31 Acres,4749944,"$15,000"
